empresa,PS,PSD,BE,CDS,CDU,PAN,A,Livre,IL,Chega,Outros,date,order_i,months
Pitagrica,39.6,23.9,5.7,2.4,5.5,2,,,5.1,8.4,7.4,2021-11-15,463,2021-11
Pitagrica,38.2,32.1,5.4,0.8,5.2,1.9,,,4.2,7.1,5.1,2021-11-15,463,2021-11
Intercampus,39,28.1,7.7,2,5.3,4.4,,0.2,4.2,6.3,2.8,2021-11-11,462,2021-11
CESOPUCatlica,39,30,7,2,5,3,,,5,5,4,2021-11-04,461,2021-11
ICSISCTE,40,26,5,1,6,2,,,2,10,8,2021-11-01,460,2021-11
Aximage,38.5,24.4,8.8,2,4.6,2.8,,,4.7,7.7,6.4,2021-10-31,459,2021-10
Intercampus,34.7,25.1,9.1,1.6,5.4,3.5,,0.2,6.1,7.5,6.8,2021-08-20,458,2021-08
Eurosondagem,41.3,27.3,5.6,2.1,6,2.5,,,4.5,9,1.7,2021-08-19,457,2021-08
Eurosondagem,41.1,27.3,4.8,2.1,5.9,2.2,,,3.3,8.8,4.5,2021-07-29,456,2021-07
Aximage,37.6,25.2,7.8,0.9,4.8,4.6,,,5.5,7.7,5.9,2021-07-19,455,2021-07
Intercampus,34.8,23.4,9,2.8,6.7,4.5,,,3.1,9,6.7,2021-07-16,454,2021-07
Eurosondagem,40.8,27.3,5.2,2.2,5.2,2.1,,,2.5,9,5.7,2021-07-08,453,2021-07
Intercampus,34.6,22.4,8.3,3.1,6,5.2,,0.6,6.4,10.1,3.3,2021-06-21,452,2021-06
Eurosondagem,40,27,5.5,2.5,5,,,,2.7,8.4,8.9,2021-06-03,451,2021-06
Aximage,38.9,24,8,1.4,5.7,3.7,,0.3,5.2,7,5.8,2021-05-30,450,2021-05
Eurosondagem,39.4,27.4,6.6,2.4,5,2.3,,,2.2,8,6.7,2021-05-13,449,2021-05
Intercampus,37.9,21.7,8.3,2.9,5.5,4.8,,1.3,4.2,8.3,5.1,2021-05-11,448,2021-05
CESOPUCatlica,38,28,8,3,5,3,,,5,6,4,2021-05-07,447,2021-05
Aximage,38.2,26.1,9.2,0.4,5.7,2.7,,0.8,4.9,7.2,4.8,2021-04-25,446,2021-04
Intercampus,36.2,23.3,9.4,3.1,5.2,4.8,,0.4,5,9.4,3,2021-04-13,444,2021-04
ICSISCTE,37,29,9,1,7,2,,,1,6,9,2021-04-13,444,2021-04
Eurosondagem,39.6,27.8,6.2,2,5.2,2.1,,,2.5,7.7,6.9,2021-04-08,443,2021-04
Aximage,39.7,23.6,8.6,1.1,6,3.2,,0.8,4.8,8.5,3.6,2021-03-27,442,2021-03
