circulo,PS,PSD,BE,CDS,CDU,PAN,A,Livre,IL,Chega
Aveiro,0.0630170612502768,0.081058627486089,0.070147125581693,0.0903720139443219,0.0323012335877495,0.0597131203886165,0.0539525691699605,0.0419204648883288,0.0530278425699017,0.0384490542653959
Açores,0.0175660458345971,0.0173188416236697,0.0133186947679127,0.0180888341699025,0.00615590961308289,0.0126827368131616,0.0181571146245059,0.0124273611986277,0.00838524904780183,0.0104753754905722
Beja,0.0137291798069183,0.00585938705913103,0.0116708562560869,0.00666549411695732,0.0440657271912572,0.00725218825901654,0.00620059288537549,0.00696632360148428,0.0040745224246361,0.0193425595325917
Braga,0.0881440210062118,0.108849725690678,0.0826778975660385,0.0862951488010679,0.0554452884887197,0.0682771183722103,0.0540513833992095,0.0554155289505006,0.0563642268741327,0.0467113222579598
Bragança,0.0121817347965758,0.0177743659190992,0.00766124919757864,0.0127807918318383,0.00405081106439797,0.00476605105173915,0.00768280632411067,0.00477840789750053,0.00403023413741179,0.0078786626929092
Castelo,0.0200989441272127,0.0169243740485614,0.0207039710108409,0.0156760876526006,0.0133854194859951,0.0127743916410797,0.0175889328063241,0.0145977735769796,0.00801617998759928,0.0175573194841984
Coimbra,0.0417589763879517,0.0372315648151388,0.0455995312459379,0.0320060972584886,0.0342860407907953,0.0307272810595298,0.0519021739130435,0.0335538752362949,0.0246833387463462,0.0270884357756204
Europa,0.016456230237149,0.0138962351328601,0.012214802949311,0.0143592241328769,0.00814673138341062,0.0303549333211127,0.0138586956521739,0.0204088776867605,0.012902654344681,0.0135294638378235
Evora,0.0148888452775379,0.0088772355163512,0.0132487016272405,0.0114188302463707,0.0422763934248751,0.00827184821960497,0.0113389328063241,0.00880417279283064,0.00721899081756178,0.0242409041281832
Faro,0.0333033884270633,0.0264204091349086,0.0425138336443029,0.0296745272595258,0.0366136783289126,0.0471907795243114,0.0324357707509881,0.0299306868304978,0.0209040715698722,0.0545309687509221
ForaEuropa,0.00533236222282159,0.0115294296822101,0.00280772484296539,0.0096464762626331,0.00155777292602684,0.0134961734109344,0.0150444664031621,0.00607365399425891,0.0186453689214326,0.00683112514385199
Guarda,0.0151029373644215,0.0180727892150507,0.0119708268589678,0.0172500101470648,0.00689269410512261,0.00702305118922139,0.0100296442687747,0.00658125043758314,0.00679087070772683,0.016731092684942
Leiria,0.0364596725020753,0.051425537213385,0.0418598977300225,0.0536531688155895,0.0286503912476017,0.0367650428486321,0.0541501976284585,0.0360043408247567,0.0303670022734654,0.0491604945557556
Lisboa,0.212326351902324,0.170755751851768,0.213861041617921,0.218540716788657,0.258009899977746,0.278223958572018,0.345528656126482,0.399040817755374,0.401591425787593,0.324987459057511
Madeira,0.0227593531480457,0.0330865681389569,0.0136046667426592,0.0354200208353064,0.00811966583064181,0.0135362723981486,0.0157114624505929,0.00840159630329763,0.0136112669402699,0.0134114314379297
Portalegre,0.0120762629596552,0.0071189391772161,0.00832718393597427,0.0088437306923906,0.0164799143525619,0.00490926172036112,0.00662055335968379,0.00505846110761045,0.00373497888924976,0.0207884564312904
Porto,0.179695674395321,0.199739171179033,0.189099468252111,0.140742043573751,0.134876671297883,0.185200036661931,0.108498023715415,0.157004830917874,0.20967551448227,0.0840980849243117
Santarém,0.0403149042725014,0.0357716917719552,0.0422898555941518,0.0441374769436139,0.0471060909522864,0.0306986389258054,0.0419219367588933,0.0311384162990968,0.0238270985266763,0.0619670099442297
Setubal,0.0799975022589864,0.039010442071236,0.0956986215350896,0.0527512075007103,0.187167319247217,0.100505247238898,0.0712697628458498,0.0850661625708885,0.0612507012312144,0.112529139248724
Viana,0.0222430134090911,0.028260343111327,0.0206499763023224,0.0341437455747523,0.0145552528223357,0.0164806837450163,0.0168725296442688,0.0119547714065672,0.0102601198736308,0.0125852046386733
VilaReal,0.0195763075621733,0.0268526083911143,0.0121508092206964,0.0203482472636749,0.00756933292434276,0.00947481783602951,0.0173418972332016,0.0096443324231604,0.00621512297381086,0.0116852075894833
Viseu,0.0329712308510895,0.0441659617702607,0.027923263520175,0.0471861061879056,0.0122877609570379,0.0216763668026213,0.0298418972332016,0.0152278932997269,0.0144232188727155,0.0254212281271209
