circulo,PS,PSD,BE,CDS,CDU,PAN,A,Livre,IL,Chega,Outros,V13
Aveiro,34.1,33.55,9.96,5.69,3.05,2.96,0.62,0.68,1.02,0.74,7,99.37
Beja,40.71,13.29,9.08,2.3,22.8,1.97,0.39,0.62,0.43,2.04,6.3,99.93
Braga,36.08,34.08,8.88,4.11,3.96,2.56,0.47,0.68,0.82,0.68,7,99.32
Bragança,36.54,40.78,6.03,4.46,2.12,1.31,0.49,0.43,0.43,0.84,6,99.43
Castelo,40.88,26.33,11.05,3.71,4.75,2.38,0.76,0.89,0.58,1.27,7.3,99.9
Coimbra,39.02,26.61,11.18,3.48,5.59,2.63,1.03,0.94,0.82,0.9,7.8,100
Evora,38.33,17.48,8.95,3.42,18.99,1.95,0.62,0.68,0.66,2.22,6,99.3
Faro,36.75,22.3,12.31,3.81,7.05,4.77,0.76,0.99,0.82,2.14,8.2,99.9
Guarda,37.55,34.37,7.81,4.99,2.99,1.6,0.53,0.49,0.6,1.48,7.5,99.91
Leiria,31.07,33.52,9.36,5.32,4.26,2.87,0.98,0.92,0.92,1.49,9,99.71
Lisboa,36.74,22.6,9.71,4.4,7.79,4.41,1.27,2.07,2.47,2,6.3,99.76
Portalegre,44.6,20.11,8.07,3.8,10.62,1.66,0.52,0.56,0.49,2.73,6.7,99.86
Porto,36.65,31.16,10.12,3.34,4.8,3.46,0.47,0.96,1.52,0.61,6.9,99.99
Santarém,37.13,25.2,10.22,4.73,7.57,2.59,0.82,0.86,0.78,2.03,8,99.93
Setubal,38.58,14.39,12.11,2.96,15.75,4.44,0.73,1.23,1.05,1.93,6.8,99.97
Viana,34.77,33.79,8.47,6.21,3.97,2.36,0.56,0.56,0.57,0.7,8,99.96
VilaReal,37.21,39.04,6.06,4.5,2.51,1.65,0.7,0.55,0.42,0.79,6.5,99.93
Viseu,35.37,36.24,7.86,5.89,2.3,2.13,0.68,0.49,0.55,0.97,7.5,99.98
Madeira,33.41,37.15,5.24,6.05,2.08,1.82,0.49,0.37,0.71,0.7,11,99.02
Açores,40.06,30.21,7.97,4.8,2.45,2.65,0.88,0.85,0.68,0.85,8,99.4
Europa,29.06,18.77,5.66,2.95,2.51,4.91,0.52,1.08,0.81,0.85,32,99.12
ForaEuropa,20.19,33.39,2.79,4.25,1.03,4.68,1.21,0.69,2.51,0.92,28,99.66
Total,36.34,27.76,9.52,4.22,6.33,3.32,0.77,1.09,1.29,1.29,8,99.93
media,35.75,27.11,8.2,4.2,4.6,2.6,0.67,0.74,0.78,1.17,8.31,
